"LAD16CD","LAD16CDO","LAD16NM"
"E09000001","00AA","City of London"
"E09000002","00AB","Barking and Dagenham"
"E09000003","00AC","Barnet"
"E09000004","00AD","Bexley"
"E09000005","00AE","Brent"
"E09000006","00AF","Bromley"
"E09000007","00AG","Camden"
"E09000008","00AH","Croydon"
"E09000009","00AJ","Ealing"
"E09000010","00AK","Enfield"
"E08000024","00CM","Sunderland"
"E09000011","00AL","Greenwich"
"E09000012","00AM","Hackney"
"E08000025","00CN","Birmingham"
"E07000243","26UH","Stevenage"
"E08000026","00CQ","Coventry"
"E09000013","00AN","Hammersmith and Fulham"
"E09000014","00AP","Haringey"
"E08000027","00CR","Dudley"
"E07000102","26UJ","Three Rivers"
"E08000028","00CS","Sandwell"
"E09000015","00AQ","Harrow"
"E07000103","26UK","Watford"
"E06000034","00KG","Thurrock"
"E08000029","00CT","Solihull"
"E09000016","00AR","Havering"
"E06000035","00LC","Medway"
"E07000241","26UL","Welwyn Hatfield"
"E09000017","00AS","Hillingdon"
"E08000030","00CU","Walsall"
"E06000036","00MA","Bracknell Forest"
"E07000038","17UJ","North East Derbyshire"
"E07000039","17UK","South Derbyshire"
"E06000037","00MB","West Berkshire"
"E08000031","00CW","Wolverhampton"
"E07000105","29UB","Ashford"
"E09000018","00AT","Hounslow"
"E07000040","18UB","East Devon"
"E07000106","29UC","Canterbury"
"E09000019","00AU","Islington"
"E08000032","00CX","Bradford"
"E06000038","00MC","Reading"
"E07000041","18UC","Exeter"
"E07000107","29UD","Dartford"
"E08000033","00CY","Calderdale"
"E09000020","00AW","Kensington and Chelsea"
"E06000039","00MD","Slough"
"E07000042","18UD","Mid Devon"
"E07000108","29UE","Dover"
"E08000034","00CZ","Kirklees"
"E09000021","00AX","Kingston upon Thames"
"E06000040","00ME","Windsor and Maidenhead"
"E07000043","18UE","North Devon"
"E07000109","29UG","Gravesham"
"E08000035","00DA","Leeds"
"E09000022","00AY","Lambeth"
"E06000041","00MF","Wokingham"
"E07000044","18UG","South Hams"
"E08000036","00DB","Wakefield"
"E07000110","29UH","Maidstone"
"E09000023","00AZ","Lewisham"
"E07000045","18UH","Teignbridge"
"E07000111","29UK","Sevenoaks"
"E09000024","00BA","Merton"
"E06000001","00EB","Hartlepool"
"E07000046","18UK","Torridge"
"E06000042","00MG","Milton Keynes"
"E07000112","29UL","Shepway"
