tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,1
0,0,1,0,1,1
0,1,0,0,0,105
0,1,1,0,1,25
0,1,1,0,2,9
0,1,2,0,4,2
0,2,0,0,0,35
0,2,0,1,0,520
0,2,1,0,1,18
0,2,1,0,2,3
0,2,1,1,1,252
0,2,1,1,2,30
0,2,1,1,3,5
0,2,1,1,4,49
0,2,2,1,1,33
0,2,2,1,2,5
0,2,2,1,3,2
0,2,2,1,4,1
0,2,3,1,1,12
0,2,3,1,2,3
0,2,3,1,3,1
0,2,3,1,4,1
0,3,0,0,0,6
0,3,0,1,0,303
0,3,0,2,0,434
0,3,1,0,1,9
0,3,1,0,2,1
0,3,1,1,1,203
0,3,1,1,2,20
0,3,1,1,3,3
0,3,1,1,4,28
0,3,1,2,1,427
0,3,1,2,2,41
0,3,1,2,3,8
0,3,1,2,4,67
0,3,2,1,1,24
0,3,2,1,2,1
0,3,2,1,4,3
0,3,2,2,1,90
0,3,2,2,2,7
0,3,2,2,3,3
0,3,2,2,4,19
0,3,3,1,1,9
0,3,3,1,2,2
0,3,3,1,4,1
0,3,3,2,1,70
0,3,3,2,2,10
0,3,3,2,4,4
0,4,0,0,0,3
0,4,0,1,0,59
0,4,0,2,0,606
0,4,0,3,0,40
0,4,1,0,1,2
0,4,1,1,1,83
0,4,1,1,2,10
0,4,1,1,4,5
0,4,1,2,1,810
0,4,1,2,2,57
0,4,1,2,3,11
0,4,1,2,4,113
0,4,1,3,1,71
0,4,1,3,2,5
0,4,1,3,3,1
0,4,1,3,4,2
0,4,2,1,1,8
0,4,2,2,1,142
0,4,2,2,2,17
0,4,2,2,3,5
0,4,2,2,4,35
0,4,2,3,1,16
0,4,2,3,2,2
0,4,2,3,3,3
0,4,2,3,4,6
0,4,3,1,1,2
0,4,3,1,2,1
0,4,3,1,4,1
0,4,3,2,1,134
0,4,3,2,2,14
0,4,3,2,3,2
0,4,3,2,4,16
0,4,3,3,1,25
0,4,3,3,2,3
0,4,3,3,3,1
0,4,3,3,4,5
0,5,0,0,0,1
0,5,0,1,0,8
0,5,0,2,0,190
0,5,0,3,0,311
0,5,1,1,1,26
0,5,1,1,2,3
0,5,1,2,1,408
0,5,1,2,2,27
0,5,1,2,3,2
0,5,1,2,4,29
0,5,1,3,1,923
0,5,1,3,2,48
0,5,1,3,3,10
0,5,1,3,4,65
0,5,2,1,1,4
0,5,2,2,1,109
0,5,2,2,2,10
0,5,2,2,3,2
0,5,2,2,4,8
0,5,2,3,1,246
0,5,2,3,2,12
0,5,2,3,3,7
0,5,2,3,4,25
0,5,3,1,1,1
0,5,3,2,1,74
0,5,3,2,2,6
0,5,3,2,3,1
0,5,3,2,4,3
0,5,3,3,1,356
0,5,3,3,2,20
0,5,3,3,3,2
0,5,3,3,4,35
1,0,0,0,0,3
1,1,0,0,0,90
1,1,1,0,1,24
1,1,1,0,2,15
1,1,1,0,3,3
1,1,1,0,4,5
1,1,2,0,1,3
1,1,2,0,2,2
1,1,2,0,3,1
1,1,2,0,4,1
1,1,3,0,1,1
1,1,3,0,4,1
1,2,0,0,0,11
1,2,0,1,0,288
1,2,1,0,1,6
1,2,1,0,2,3
1,2,1,0,3,1
1,2,1,1,1,129
1,2,1,1,2,104
1,2,1,1,3,37
1,2,1,1,4,50
1,2,2,0,1,1
1,2,2,0,2,2
1,2,2,1,1,83
1,2,2,1,2,36
1,2,2,1,3,7
1,2,2,1,4,7
1,2,3,1,1,82
1,2,3,1,2,16
1,2,3,1,3,1
1,2,3,1,4,2
1,3,0,0,0,5
1,3,0,1,0,101
1,3,0,2,0,184
1,3,1,0,1,3
1,3,1,1,1,78
1,3,1,1,2,57
1,3,1,1,3,21
1,3,1,1,4,14
1,3,1,2,0,1
1,3,1,2,1,184
1,3,1,2,2,104
1,3,1,2,3,39
1,3,1,2,4,61
1,3,2,0,1,2
1,3,2,0,3,1
1,3,2,1,1,54
1,3,2,1,2,17
1,3,2,1,3,6
1,3,2,1,4,4
1,3,2,2,1,222
1,3,2,2,2,58
1,3,2,2,3,41
1,3,2,2,4,41
1,3,3,1,1,44
1,3,3,1,2,11
1,3,3,1,4,4
1,3,3,2,1,434
1,3,3,2,2,73
1,3,3,2,3,9
1,3,3,2,4,19
1,4,0,0,0,2
1,4,0,1,0,13
1,4,0,2,0,216
1,4,0,3,0,17
1,4,1,0,1,2
1,4,1,0,4,1
1,4,1,1,1,26
1,4,1,1,2,14
1,4,1,1,3,1
1,4,1,1,4,2
1,4,1,2,1,293
1,4,1,2,2,114
1,4,1,2,3,45
1,4,1,2,4,65
1,4,1,3,1,31
1,4,1,3,2,12
1,4,1,3,3,9
1,4,1,3,4,9
1,4,2,0,3,1
1,4,2,1,1,17
1,4,2,1,2,8
1,4,2,1,3,1
1,4,2,2,1,293
1,4,2,2,2,82
1,4,2,2,3,48
1,4,2,2,4,45
1,4,2,3,1,32
1,4,2,3,2,8
1,4,2,3,3,3
1,4,2,3,4,6
1,4,3,0,1,1
1,4,3,0,4,1
1,4,3,1,1,12
1,4,3,1,3,1
1,4,3,2,1,617
1,4,3,2,2,80
1,4,3,2,3,10
1,4,3,2,4,38
1,4,3,3,1,113
1,4,3,3,2,15
1,4,3,3,4,11
1,5,0,1,0,3
1,5,0,2,0,62
1,5,0,3,0,81
1,5,1,1,1,5
1,5,1,1,2,1
1,5,1,1,4,1
1,5,1,2,1,130
1,5,1,2,2,30
1,5,1,2,3,12
1,5,1,2,4,20
1,5,1,3,1,298
1,5,1,3,2,70
1,5,1,3,3,15
1,5,1,3,4,42
1,5,2,1,1,5
1,5,2,1,4,1
1,5,2,2,1,144
1,5,2,2,2,25
1,5,2,2,3,15
1,5,2,2,4,19
1,5,2,3,1,359
1,5,2,3,2,51
1,5,2,3,3,36
1,5,2,3,4,36
1,5,3,0,1,3
1,5,3,1,1,4
1,5,3,2,1,260
1,5,3,2,2,41
1,5,3,2,3,2
1,5,3,2,4,5
1,5,3,3,1,1204
1,5,3,3,2,66
1,5,3,3,3,9
1,5,3,3,4,82
2,0,0,0,0,33
2,0,1,0,1,1
2,0,1,0,2,1
2,0,1,0,3,2
2,0,2,0,4,1
2,1,0,0,0,728
2,1,1,0,1,80
2,1,1,0,2,38
2,1,1,0,3,12
2,1,1,0,4,11
2,1,2,0,1,7
2,1,2,0,2,4
2,1,2,0,3,3
2,1,2,0,4,2
2,1,3,0,1,6
2,1,3,0,2,2
2,1,3,0,4,1
2,2,0,0,0,43
2,2,0,1,0,458
2,2,1,0,1,6
2,2,1,0,4,4
2,2,1,1,1,143
2,2,1,1,2,47
2,2,1,1,3,147
2,2,1,1,4,125
